datetime_nano,price,direction
2022-01-19 10:20:00,7169.8,sell
2022-01-19 10:25:00,7175.8,buy
2022-01-19 10:29:00,7166.2,sell
2022-01-19 11:09:00,7127.8,buy
2022-01-19 11:10:00,7129.8,sell
2022-01-19 11:13:00,7135.8,buy
2022-01-19 11:24:00,7136.4,sell
2022-01-19 13:17:00,7118.8,buy
2022-01-19 13:20:00,7113.8,sell
2022-01-19 13:25:00,7117.0,buy
2022-01-19 13:31:00,7110.6,sell
2022-01-19 13:47:00,7102.4,buy
2022-01-19 13:52:00,7105.6,sell
2022-01-19 13:54:00,7098.6,buy
2022-01-19 13:57:00,7098.8,sell
2022-01-19 14:08:00,7101.6,buy
2022-01-19 14:14:00,7097.8,sell
2022-01-19 14:23:00,7097.0,buy
2022-01-19 14:31:00,7101.8,sell
2022-01-19 14:32:00,7110.8,buy
2022-01-19 14:53:00,7118.4,sell
2022-01-20 09:30:00,7138.8,buy
2022-01-20 09:35:00,7129.4,sell
2022-01-20 09:36:00,7128.6,buy
2022-01-20 09:45:00,7135.2,sell
2022-01-20 09:48:00,7148.0,buy
2022-01-20 09:53:00,7130.0,sell
2022-01-20 10:04:00,7122.0,buy
2022-01-20 10:09:00,7118.6,sell
2022-01-20 10:13:00,7120.4,buy
2022-01-20 10:17:00,7121.0,sell
2022-01-20 10:19:00,7125.0,buy
2022-01-20 10:24:00,7110.8,sell
2022-01-20 10:39:00,7087.2,buy
2022-01-20 10:41:00,7078.8,sell
2022-01-20 10:50:00,7070.4,buy
2022-01-20 10:58:00,7063.8,sell
2022-01-20 11:07:00,7070.2,buy
2022-01-20 11:11:00,7058.8,sell
2022-01-20 11:16:00,7069.4,buy
2022-01-20 13:05:00,7114.0,sell
2022-01-20 13:08:00,7110.8,buy
2022-01-20 13:12:00,7107.0,sell
2022-01-20 13:17:00,7113.0,buy
2022-01-20 13:26:00,7108.0,sell
2022-01-20 13:37:00,7103.8,buy
2022-01-20 13:39:00,7101.6,sell
2022-01-20 14:05:00,7084.8,buy
2022-01-20 14:11:00,7084.0,sell
2022-01-20 14:14:00,7083.2,buy
2022-01-20 14:24:00,7088.0,sell
2022-01-20 14:39:00,7088.8,buy
2022-01-20 14:48:00,7084.6,sell
2022-01-20 14:49:00,7086.6,buy
2022-01-20 14:51:00,7084.0,sell
2022-01-20 14:52:00,7086.0,buy
2022-01-20 14:57:00,7084.8,sell
2022-01-20 14:58:00,7085.8,buy
2022-01-21 09:30:00,7062.4,sell
2022-01-21 09:39:00,7047.6,buy
2022-01-21 09:42:00,7050.6,sell
2022-01-21 09:43:00,7043.8,buy
2022-01-21 09:44:00,7041.4,sell
2022-01-21 09:53:00,7048.6,buy
2022-01-21 10:00:00,7031.4,sell
2022-01-21 10:04:00,7048.2,buy
2022-01-21 10:08:00,7032.0,sell
2022-01-21 10:19:00,7022.8,buy
2022-01-21 10:32:00,7031.4,sell
2022-01-21 10:46:00,7024.0,buy
2022-01-21 10:47:00,7021.2,sell
2022-01-21 10:57:00,7019.6,buy
2022-01-21 11:07:00,7013.4,sell
2022-01-21 11:15:00,7028.0,buy
2022-01-21 11:20:00,7014.2,sell
2022-01-21 11:25:00,7018.4,buy
2022-01-21 11:28:00,7016.2,sell
2022-01-21 13:08:00,7019.2,buy
2022-01-21 13:13:00,7008.6,sell
2022-01-21 13:33:00,7004.4,buy
2022-01-21 13:49:00,7018.8,sell
2022-01-21 13:51:00,7014.6,buy
2022-01-21 13:52:00,7012.6,sell
2022-01-21 14:08:00,7008.4,buy
2022-01-21 14:14:00,7002.2,sell
2022-01-21 14:21:00,7005.4,buy
2022-01-21 14:29:00,7003.0,sell
2022-01-21 14:46:00,7001.2,buy
2022-01-24 09:30:00,6980.8,sell
2022-01-24 09:41:00,6981.8,buy
2022-01-24 09:49:00,6991.0,sell
2022-01-24 09:53:00,6995.2,buy
2022-01-24 10:00:00,6990.8,sell
2022-01-24 10:05:00,6993.8,buy
2022-01-24 10:06:00,6990.4,sell
2022-01-24 10:24:00,6982.6,buy
2022-01-24 10:47:00,7004.4,sell
2022-01-24 10:56:00,7006.4,buy
2022-01-24 11:06:00,7010.6,sell
2022-01-24 11:08:00,7013.0,buy
2022-01-24 11:13:00,7011.4,sell
2022-01-24 11:24:00,7010.6,buy
2022-01-24 13:03:00,7008.0,sell
2022-01-24 13:08:00,7011.8,buy
2022-01-24 13:21:00,7011.0,sell
2022-01-24 13:27:00,7016.2,buy
2022-01-24 13:41:00,7021.2,sell
2022-01-24 13:43:00,7023.0,buy
2022-01-24 13:48:00,7013.4,sell
2022-01-24 14:05:00,7008.0,buy
2022-01-24 14:10:00,7003.8,sell
2022-01-24 14:28:00,6998.8,buy
2022-01-24 14:34:00,6994.4,sell
2022-01-24 14:40:00,6995.0,buy
